,api_element,cq,suggest_sen,kwd
10,Class.getGenericInterfaces(),Did you cause the error java.lang.reflect.GenericSignatureFormatError?, - if the generic class signature does not conform to the format specified in The Java™ Virtual Machine Specification you will cause the error java.lang.reflect.GenericSignatureFormatError.,['java.lang.reflect.GenericSignatureFormatError']
11,Class.getGenericInterfaces(),Did you cause the error java.lang.TypeNotPresentException?, - if any of the generic superinterfaces refers to a non-existent type declaration you will cause the error java.lang.TypeNotPresentException.,['java.lang.TypeNotPresentException']
12,Class.getGenericInterfaces(),Did you cause the error java.lang.reflect.MalformedParameterizedTypeException?, - if any of the generic superinterfaces refer to a parameterized type that cannot be instantiated for any reason you will cause the error java.lang.reflect.MalformedParameterizedTypeException.,['java.lang.reflect.MalformedParameterizedTypeException']
13,Scanner.nextDouble(),Did you cause the error java.util.InputMismatchException?," - if the next token does not match the Float regular expression, or is out of range you will cause the error java.util.InputMismatchException.",['java.util.InputMismatchException']
14,Scanner.nextDouble(),Did you cause the error java.util.NoSuchElementException?, - if the input is exhausted you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
15,Scanner.nextDouble(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
16,Scanner.nextBoolean(),Did you cause the error java.util.InputMismatchException?, - if the next token is not a valid boolean you will cause the error java.util.InputMismatchException.,['java.util.InputMismatchException']
17,Scanner.nextBoolean(),Did you cause the error java.util.NoSuchElementException?, - if input is exhausted you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
18,Scanner.nextBoolean(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
19,String.codePointAt(int index),Did you cause the error java.lang.IndexOutOfBoundsException?, - if the index argument is negative or not less than the length of this string. you will cause the error java.lang.IndexOutOfBoundsException.,['java.lang.IndexOutOfBoundsException']
20,Currency.getInstance(Locale locale),Did you cause the error java.lang.NullPointerException?, - if locale or its country code is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
21,Currency.getInstance(Locale locale),Did you cause the error java.lang.IllegalArgumentException?, - if the country of the given locale is not a supported ISO 3166 country code. you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
22,Scanner.hasNextBoolean(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
23,"NavigableSet.subSet(E fromElement, boolean fromInclusive, E toElement, boolean toInclusive)",Did you cause the error java.lang.ClassCastException?,toElement - high endpoint of the returned set you will cause the error java.lang.ClassCastException.,['java.lang.ClassCastException']
24,"NavigableSet.subSet(E fromElement, boolean fromInclusive, E toElement, boolean toInclusive)",Did you cause the error java.lang.NullPointerException?,toInclusive - true if the high endpoint is to be included in the returned view you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
25,"NavigableSet.subSet(E fromElement, boolean fromInclusive, E toElement, boolean toInclusive)",Did you cause the error java.lang.IllegalArgumentException?,"a view of the portion of this set whose elements range from fromElement, inclusive, to toElement, exclusive you will cause the error java.lang.IllegalArgumentException.",['java.lang.IllegalArgumentException']
26,"NavigableSet.subSet(E fromElement, boolean fromInclusive, E toElement, boolean toInclusive)",Did you cause the error java.lang.ClassCastException?," - if fromElement and toElement cannot be compared to one another using this set's comparator (or, if the set has no comparator, using natural ordering). Implementations may, but are not required to, throw this exception if fromElement or toElement cannot be compared to elements currently in the set. you will cause the error java.lang.ClassCastException.",['java.lang.ClassCastException']
27,"NavigableSet.subSet(E fromElement, boolean fromInclusive, E toElement, boolean toInclusive)",Did you cause the error java.lang.NullPointerException?, - if fromElement or toElement is null and this set does not permit null elements you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
28,"NavigableSet.subSet(E fromElement, boolean fromInclusive, E toElement, boolean toInclusive)",Did you cause the error java.lang.IllegalArgumentException?," - if fromElement is greater than toElement; or if this set itself has a restricted range, and fromElement or toElement lies outside the bounds of the range. you will cause the error java.lang.IllegalArgumentException.",['java.lang.IllegalArgumentException']
29,Scanner.hasNextBigInteger(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
30,Scanner.hasNextShort(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
31,Math.toIntExact(long value),Did you cause the error java.lang.ArithmeticException?, - if the argument overflows an int you will cause the error java.lang.ArithmeticException.,['java.lang.ArithmeticException']
32,Scanner.skip(String pattern),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
33,Map.Entry.getValue(),Did you cause the error java.lang.IllegalStateException?," - implementations may, but are not required to, throw this exception if the entry has been removed from the backing map. you will cause the error java.lang.IllegalStateException.",['java.lang.IllegalStateException']
34,Spliterator.getComparator(),Did you cause the error java.lang.IllegalStateException?, - if the spliterator does not report a characteristic of SORTED. you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
35,Short.valueOf(String s),Did you cause the error java.lang.NumberFormatException?, - If the String does not contain a parsable short. you will cause the error java.lang.NumberFormatException.,['java.lang.NumberFormatException']
36,Scanner.hasNextShort(int radix),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
37,Readable.read(CharBuffer cb),Did you cause the error java.io.IOException?, - if an I/O error occurs you will cause the error java.io.IOException.,['java.io.IOException']
38,Readable.read(CharBuffer cb),Did you cause the error java.lang.NullPointerException?, - if cb is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
39,Readable.read(CharBuffer cb),Did you cause the error java.nio.ReadOnlyBufferException?, - if cb is a read only buffer you will cause the error java.nio.ReadOnlyBufferException.,['java.nio.ReadOnlyBufferException']
40,PrimitiveIterator.OfInt.nextInt(),Did you cause the error java.util.NoSuchElementException?, - if the iteration has no more elements you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
41,Objects.requireNonNull(T obj),Did you cause the error java.lang.NullPointerException?, - if obj is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
42,Character.toChars(int codePoint),Did you cause the error java.lang.IllegalArgumentException?, - if the specified codePoint is not a valid Unicode code point. you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
43,PrimitiveIterator.OfLong.nextLong(),Did you cause the error java.util.NoSuchElementException?, - if the iteration has no more elements you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
44,NavigableMap.headMap(K toKey),Did you cause the error java.lang.ClassCastException?," - if toKey is not compatible with this map's comparator (or, if the map has no comparator, if toKey does not implement Comparable). Implementations may, but are not required to, throw this exception if toKey cannot be compared to keys currently in the map. you will cause the error java.lang.ClassCastException.",['java.lang.ClassCastException']
45,NavigableMap.headMap(K toKey),Did you cause the error java.lang.NullPointerException?," - if toKey is null and this map uses natural ordering, or its comparator does not permit null keys you will cause the error java.lang.NullPointerException.",['java.lang.NullPointerException']
46,NavigableMap.headMap(K toKey),Did you cause the error java.lang.IllegalArgumentException?," - if this map itself has a restricted range, and toKey lies outside the bounds of the range you will cause the error java.lang.IllegalArgumentException.",['java.lang.IllegalArgumentException']
47,GenericDeclaration.getTypeParameters(),Did you cause the error java.lang.reflect.GenericSignatureFormatError?, - if the generic signature of this generic declaration does not conform to the format specified in The Java™ Virtual Machine Specification you will cause the error java.lang.reflect.GenericSignatureFormatError.,['java.lang.reflect.GenericSignatureFormatError']
48,ClassLoader.getParent(),Did you cause the error java.lang.SecurityException?, - If a security manager exists and its checkPermission method doesn't allow access to this class loader's parent class loader. you will cause the error java.lang.SecurityException.,['java.lang.SecurityException']
49,BitSet.flip(int bitIndex),Did you cause the error java.lang.IndexOutOfBoundsException?, - if the specified index is negative you will cause the error java.lang.IndexOutOfBoundsException.,['java.lang.IndexOutOfBoundsException']
50,Collections.reverse(List<?> list),Did you cause the error java.lang.UnsupportedOperationException?, - if the specified list or its list-iterator does not support the set operation. you will cause the error java.lang.UnsupportedOperationException.,['java.lang.UnsupportedOperationException']
51,Scanner.nextLong(),Did you cause the error java.util.InputMismatchException?," - if the next token does not match the Integer regular expression, or is out of range you will cause the error java.util.InputMismatchException.",['java.util.InputMismatchException']
52,Scanner.nextLong(),Did you cause the error java.util.NoSuchElementException?, - if input is exhausted you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
53,Scanner.nextLong(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
54,UUID.node(),Did you cause the error java.lang.UnsupportedOperationException?, - If this UUID is not a version 1 UUID you will cause the error java.lang.UnsupportedOperationException.,['java.lang.UnsupportedOperationException']
55,Integer.valueOf(String s),Did you cause the error java.lang.NumberFormatException?, - if the string cannot be parsed as an integer. you will cause the error java.lang.NumberFormatException.,['java.lang.NumberFormatException']
56,Scanner.hasNextByte(int radix),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
57,"Collections.newSetFromMap(Map<E,Boolean> map)",Did you cause the error java.lang.IllegalArgumentException?, - if map is not empty you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
58,Scanner.match(),Did you cause the error java.lang.IllegalStateException?, - If no match result is available you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
59,Scanner.hasNext(String pattern),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
60,Class.getEnclosingClass(),Did you cause the error java.lang.SecurityException?," - If a security manager, s, is present and the caller's class loader is not the same as or an ancestor of the class loader for the enclosing class and invocation of s.checkPackageAccess() denies access to the package of the enclosing class you will cause the error java.lang.SecurityException.",['java.lang.SecurityException']
61,Properties.load(InputStream inStream),Did you cause the error java.io.IOException?, - if an error occurred when reading from the input stream. you will cause the error java.io.IOException.,['java.io.IOException']
62,Properties.load(InputStream inStream),Did you cause the error java.lang.IllegalArgumentException?, - if the input stream contains a malformed Unicode escape sequence. you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
63,Scanner.hasNextDouble(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
64,StringBuffer.substring(int start),Did you cause the error java.lang.StringIndexOutOfBoundsException?," - if start is less than zero, or greater than the length of this object. you will cause the error java.lang.StringIndexOutOfBoundsException.",['java.lang.StringIndexOutOfBoundsException']
65,SplittableRandom.doubles(long streamSize),Did you cause the error java.lang.IllegalArgumentException?, - if streamSize is less than zero you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
66,Character.getName(int codePoint),Did you cause the error java.lang.IllegalArgumentException?, - if the specified codePoint is not a valid Unicode code point. you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
67,Scanner.next(String pattern),Did you cause the error java.util.NoSuchElementException?, - if no such tokens are available you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
68,Scanner.next(String pattern),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
69,Deque.removeFirstOccurrence(Object o),Did you cause the error java.lang.ClassCastException?, - if the class of the specified element is incompatible with this deque (optional) you will cause the error java.lang.ClassCastException.,['java.lang.ClassCastException']
70,Deque.removeFirstOccurrence(Object o),Did you cause the error java.lang.NullPointerException?, - if the specified element is null and this deque does not permit null elements (optional) you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
71,String.codePointBefore(int index),Did you cause the error java.lang.IndexOutOfBoundsException?, - if the index argument is less than 1 or greater than the length of this string. you will cause the error java.lang.IndexOutOfBoundsException.,['java.lang.IndexOutOfBoundsException']
72,Class.forName(String className),Did you cause the error java.lang.LinkageError?, - if the linkage fails you will cause the error java.lang.LinkageError.,['java.lang.LinkageError']
73,Class.forName(String className),Did you cause the error java.lang.ExceptionInInitializerError?, - if the initialization provoked by this method fails you will cause the error java.lang.ExceptionInInitializerError.,['java.lang.ExceptionInInitializerError']
74,Class.forName(String className),Did you cause the error java.lang.ClassNotFoundException?, - if the class cannot be located you will cause the error java.lang.ClassNotFoundException.,['java.lang.ClassNotFoundException']
75,Scanner.nextShort(),Did you cause the error java.util.InputMismatchException?," - if the next token does not match the Integer regular expression, or is out of range you will cause the error java.util.InputMismatchException.",['java.util.InputMismatchException']
76,Scanner.nextShort(),Did you cause the error java.util.NoSuchElementException?, - if input is exhausted you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
77,Scanner.nextShort(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
78,Scanner.nextLong(int radix),Did you cause the error java.util.InputMismatchException?," - if the next token does not match the Integer regular expression, or is out of range you will cause the error java.util.InputMismatchException.",['java.util.InputMismatchException']
79,Scanner.nextLong(int radix),Did you cause the error java.util.NoSuchElementException?, - if input is exhausted you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
80,Scanner.nextLong(int radix),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
81,PrimitiveIterator.forEachRemaining(IntConsumer action),Did you cause the error java.lang.NullPointerException?, - if the specified action is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
82,Locale.Builder.setLocale(Locale locale),Did you cause the error java.util.IllformedLocaleException?, - if locale has any ill-formed fields. you will cause the error java.util.IllformedLocaleException.,['java.util.IllformedLocaleException']
83,Locale.Builder.setLocale(Locale locale),Did you cause the error java.lang.NullPointerException?, - if locale is null. you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
84,Spliterator.forEachRemaining(Consumer<? super T> action),Did you cause the error java.lang.NullPointerException?, - if the specified action is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
85,ClassLoader.getSystemClassLoader(),Did you cause the error java.lang.SecurityException?, - If a security manager exists and its checkPermission method doesn't allow access to the system class loader. you will cause the error java.lang.SecurityException.,['java.lang.SecurityException']
86,ClassLoader.getSystemClassLoader(),Did you cause the error java.lang.IllegalStateException?," - If invoked recursively during the construction of the class loader specified by the ""java.system.class.loader"" property. you will cause the error java.lang.IllegalStateException.",['java.lang.IllegalStateException']
87,ClassLoader.getSystemClassLoader(),Did you cause the error java.lang.Error?," - If the system property ""java.system.class.loader"" is defined but the named class could not be loaded, the provider class does not define the required constructor, or an exception is thrown by that constructor when it is invoked. The underlying cause of the error can be retrieved via the Throwable.getCause() method. you will cause the error java.lang.Error.",['java.lang.Error']
88,IntSummaryStatistics.combine(IntSummaryStatistics other),Did you cause the error java.lang.NullPointerException?, - if other is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
89,Math.incrementExact(int a),Did you cause the error java.lang.ArithmeticException?, - if the result overflows an int you will cause the error java.lang.ArithmeticException.,['java.lang.ArithmeticException']
90,SplittableRandom.nextDouble(double bound),Did you cause the error java.lang.IllegalArgumentException?, - if bound is not positive you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
91,BitSet.previousClearBit(int fromIndex),Did you cause the error java.lang.IndexOutOfBoundsException?, - if the specified index is less than -1 you will cause the error java.lang.IndexOutOfBoundsException.,['java.lang.IndexOutOfBoundsException']
92,Flushable.flush(),Did you cause the error java.util.FormatterClosedException?, - If this formatter has been closed by invoking its close() method you will cause the error java.util.FormatterClosedException.,['java.util.FormatterClosedException']
93,Spliterators.iterator(Spliterator.OfLong spliterator),Did you cause the error java.lang.NullPointerException?, - if the given spliterator is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
94,Collections.shuffle(List<?> list),Did you cause the error java.lang.UnsupportedOperationException?, - if the specified list or its list-iterator does not support the set operation. you will cause the error java.lang.UnsupportedOperationException.,['java.lang.UnsupportedOperationException']
95,Class.newInstance(),Did you cause the error java.lang.IllegalAccessException?, - if the class or its nullary constructor is not accessible. you will cause the error java.lang.IllegalAccessException.,['java.lang.IllegalAccessException']
96,Class.newInstance(),Did you cause the error java.lang.InstantiationException?," - if this Class represents an abstract class, an interface, an array class, a primitive type, or void; or if the class has no nullary constructor; or if the instantiation fails for some other reason. you will cause the error java.lang.InstantiationException.",['java.lang.InstantiationException']
97,Class.newInstance(),Did you cause the error java.lang.ExceptionInInitializerError?, - if the initialization provoked by this method fails. you will cause the error java.lang.ExceptionInInitializerError.,['java.lang.ExceptionInInitializerError']
98,Class.newInstance(),Did you cause the error java.lang.SecurityException?," - If a security manager, s, is present and the caller's class loader is not the same as or an ancestor of the class loader for the current class and invocation of s.checkPackageAccess() denies access to the package of this class. you will cause the error java.lang.SecurityException.",['java.lang.SecurityException']
99,"NavigableMap.subMap(K fromKey, boolean fromInclusive, K toKey, boolean toInclusive)",Did you cause the error java.lang.ClassCastException?,toKey - high endpoint of the keys in the returned map you will cause the error java.lang.ClassCastException.,['java.lang.ClassCastException']
100,"NavigableMap.subMap(K fromKey, boolean fromInclusive, K toKey, boolean toInclusive)",Did you cause the error java.lang.NullPointerException?,toInclusive - true if the high endpoint is to be included in the returned view you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
101,"NavigableMap.subMap(K fromKey, boolean fromInclusive, K toKey, boolean toInclusive)",Did you cause the error java.lang.IllegalArgumentException?,a view of the portion of this map whose keys range from fromKey to toKey you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
102,"NavigableMap.subMap(K fromKey, boolean fromInclusive, K toKey, boolean toInclusive)",Did you cause the error java.lang.ClassCastException?," - if fromKey and toKey cannot be compared to one another using this map's comparator (or, if the map has no comparator, using natural ordering). Implementations may, but are not required to, throw this exception if fromKey or toKey cannot be compared to keys currently in the map. you will cause the error java.lang.ClassCastException.",['java.lang.ClassCastException']
103,"NavigableMap.subMap(K fromKey, boolean fromInclusive, K toKey, boolean toInclusive)",Did you cause the error java.lang.NullPointerException?," - if fromKey or toKey is null and this map uses natural ordering, or its comparator does not permit null keys you will cause the error java.lang.NullPointerException.",['java.lang.NullPointerException']
104,"NavigableMap.subMap(K fromKey, boolean fromInclusive, K toKey, boolean toInclusive)",Did you cause the error java.lang.IllegalArgumentException?," - if fromKey is greater than toKey; or if this map itself has a restricted range, and fromKey or toKey lies outside the bounds of the range you will cause the error java.lang.IllegalArgumentException.",['java.lang.IllegalArgumentException']
105,StringBuilder.deleteCharAt(int index),Did you cause the error java.lang.StringIndexOutOfBoundsException?, - if the index is negative or greater than or equal to length(). you will cause the error java.lang.StringIndexOutOfBoundsException.,['java.lang.StringIndexOutOfBoundsException']
106,Spliterator.tryAdvance(Consumer<? super T> action),Did you cause the error java.lang.NullPointerException?, - if the specified action is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
107,Scanner.nextShort(int radix),Did you cause the error java.util.InputMismatchException?," - if the next token does not match the Integer regular expression, or is out of range you will cause the error java.util.InputMismatchException.",['java.util.InputMismatchException']
108,Scanner.nextShort(int radix),Did you cause the error java.util.NoSuchElementException?, - if input is exhausted you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
109,Scanner.nextShort(int radix),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
110,Scanner.nextBigDecimal(),Did you cause the error java.util.InputMismatchException?," - if the next token does not match the Decimal regular expression, or is out of range you will cause the error java.util.InputMismatchException.",['java.util.InputMismatchException']
111,Scanner.nextBigDecimal(),Did you cause the error java.util.NoSuchElementException?, - if the input is exhausted you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
112,Scanner.nextBigDecimal(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
113,Scanner.hasNextInt(int radix),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
114,"Spliterator.OfPrimitive<T,T_CONS,T_SPLITR.forEachRemaining(T CONS action)",Did you cause the error java.lang.NullPointerException?, - if the specified action is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
115,Integer.parseInt(String s),Did you cause the error java.lang.NumberFormatException?, - if the string does not contain a parsable integer. you will cause the error java.lang.NumberFormatException.,['java.lang.NumberFormatException']
116,ListIterator.set(E e),Did you cause the error java.lang.UnsupportedOperationException?, - if the set operation is not supported by this list iterator you will cause the error java.lang.UnsupportedOperationException.,['java.lang.UnsupportedOperationException']
117,ListIterator.set(E e),Did you cause the error java.lang.ClassCastException?, - if the class of the specified element prevents it from being added to this list you will cause the error java.lang.ClassCastException.,['java.lang.ClassCastException']
118,ListIterator.set(E e),Did you cause the error java.lang.IllegalArgumentException?, - if some aspect of the specified element prevents it from being added to this list you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
119,ListIterator.set(E e),Did you cause the error java.lang.IllegalStateException?," - if neither next nor previous have been called, or remove or add have been called after the last call to next or previous you will cause the error java.lang.IllegalStateException.",['java.lang.IllegalStateException']
120,Deque.offer(E e),Did you cause the error java.lang.NullPointerException?, - if the specified element is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
121,ThreadLocal.withInitial(Supplier<? extends S> supplier),Did you cause the error java.lang.NullPointerException?, - if the specified supplier is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
122,Formatter.out(),Did you cause the error java.util.FormatterClosedException?, - If this formatter has been closed by invoking its close() method you will cause the error java.util.FormatterClosedException.,['java.util.FormatterClosedException']
123,Scanner.hasNext(Pattern pattern),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
124,Short.parseShort(String s),Did you cause the error java.lang.NumberFormatException?, - If the string does not contain a parsable short. you will cause the error java.lang.NumberFormatException.,['java.lang.NumberFormatException']
125,Hashtable.contains(Object value),Did you cause the error java.lang.NullPointerException?, - if the value is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
126,Package.isCompatibleWith(String desired),Did you cause the error java.lang.NumberFormatException?, - if the desired or current version is not of the correct dotted form. you will cause the error java.lang.NumberFormatException.,['java.lang.NumberFormatException']
127,Spliterators.iterator(Spliterator.OfDouble spliterator),Did you cause the error java.lang.NullPointerException?, - if the given spliterator is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
128,Scanner.nextInt(),Did you cause the error java.util.InputMismatchException?," - if the next token does not match the Integer regular expression, or is out of range you will cause the error java.util.InputMismatchException.",['java.util.InputMismatchException']
129,Scanner.nextInt(),Did you cause the error java.util.NoSuchElementException?, - if input is exhausted you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
130,Scanner.nextInt(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
131,Scanner.hasNextLine(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
132,ClassLoader.getSystemResources(String name),Did you cause the error java.io.IOException?, - If I/O errors occur you will cause the error java.io.IOException.,['java.io.IOException']
133,UUID.clockSequence(),Did you cause the error java.lang.UnsupportedOperationException?, - If this UUID is not a version 1 UUID you will cause the error java.lang.UnsupportedOperationException.,['java.lang.UnsupportedOperationException']
134,Iterator.forEachRemaining(Consumer<? super E> action),Did you cause the error java.lang.NullPointerException?, - if the specified action is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
135,Spliterators.iterator(Spliterator.OfInt spliterator),Did you cause the error java.lang.NullPointerException?, - if the given spliterator is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
136,Comparator.thenComparing(Comparator<? super T> other),Did you cause the error java.lang.NullPointerException?, - if the argument is null. you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
137,Scanner.hasNextByte(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
138,Stack.peek(),Did you cause the error java.util.EmptyStackException?, - if this stack is empty. you will cause the error java.util.EmptyStackException.,['java.util.EmptyStackException']
139,Observable.addObserver(Observer o),Did you cause the error java.lang.NullPointerException?, - if the parameter o is null. you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
140,Scanner.nextLine(),Did you cause the error java.util.NoSuchElementException?, - if no line was found you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
141,Scanner.nextLine(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
142,Math.negateExact(int a),Did you cause the error java.lang.ArithmeticException?, - if the result overflows an int you will cause the error java.lang.ArithmeticException.,['java.lang.ArithmeticException']
143,SplittableRandom.longs(long streamSize),Did you cause the error java.lang.IllegalArgumentException?, - if streamSize is less than zero you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
144,Scanner.findInLine(String pattern),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
