api_element,cq,suggest_sen,kwd
Scanner.nextLong(),Did you cause the error java.util.InputMismatchException?," - if the next token does not match the Integer regular expression, or is out of range you will cause the error java.util.InputMismatchException.",['java.util.InputMismatchException']
Scanner.nextLong(),Did you cause the error java.util.NoSuchElementException?, - if input is exhausted you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
Scanner.nextLong(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
UUID.node(),Did you cause the error java.lang.UnsupportedOperationException?, - If this UUID is not a version 1 UUID you will cause the error java.lang.UnsupportedOperationException.,['java.lang.UnsupportedOperationException']
Integer.valueOf(String s),Did you cause the error java.lang.NumberFormatException?, - if the string cannot be parsed as an integer. you will cause the error java.lang.NumberFormatException.,['java.lang.NumberFormatException']
Scanner.hasNextByte(int radix),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
"Collections.newSetFromMap(Map<E,Boolean> map)",Did you cause the error java.lang.IllegalArgumentException?, - if map is not empty you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
Scanner.match(),Did you cause the error java.lang.IllegalStateException?, - If no match result is available you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
Scanner.hasNext(String pattern),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
Class.getEnclosingClass(),Did you cause the error java.lang.SecurityException?," - If a security manager, s, is present and the caller's class loader is not the same as or an ancestor of the class loader for the enclosing class and invocation of s.checkPackageAccess() denies access to the package of the enclosing class you will cause the error java.lang.SecurityException.",['java.lang.SecurityException']
Properties.load(InputStream inStream),Did you cause the error java.io.IOException?, - if an error occurred when reading from the input stream. you will cause the error java.io.IOException.,['java.io.IOException']
Properties.load(InputStream inStream),Did you cause the error java.lang.IllegalArgumentException?, - if the input stream contains a malformed Unicode escape sequence. you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
Scanner.hasNextDouble(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
StringBuffer.substring(int start),Did you cause the error java.lang.StringIndexOutOfBoundsException?," - if start is less than zero, or greater than the length of this object. you will cause the error java.lang.StringIndexOutOfBoundsException.",['java.lang.StringIndexOutOfBoundsException']
SplittableRandom.doubles(long streamSize),Did you cause the error java.lang.IllegalArgumentException?, - if streamSize is less than zero you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
Character.getName(int codePoint),Did you cause the error java.lang.IllegalArgumentException?, - if the specified codePoint is not a valid Unicode code point. you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
Scanner.next(String pattern),Did you cause the error java.util.NoSuchElementException?, - if no such tokens are available you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
Scanner.next(String pattern),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
Deque.removeFirstOccurrence(Object o),Did you cause the error java.lang.ClassCastException?, - if the class of the specified element is incompatible with this deque (optional) you will cause the error java.lang.ClassCastException.,['java.lang.ClassCastException']
Deque.removeFirstOccurrence(Object o),Did you cause the error java.lang.NullPointerException?, - if the specified element is null and this deque does not permit null elements (optional) you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
String.codePointBefore(int index),Did you cause the error java.lang.IndexOutOfBoundsException?, - if the index argument is less than 1 or greater than the length of this string. you will cause the error java.lang.IndexOutOfBoundsException.,['java.lang.IndexOutOfBoundsException']
Class.forName(String className),Did you cause the error java.lang.LinkageError?, - if the linkage fails you will cause the error java.lang.LinkageError.,['java.lang.LinkageError']
Class.forName(String className),Did you cause the error java.lang.ExceptionInInitializerError?, - if the initialization provoked by this method fails you will cause the error java.lang.ExceptionInInitializerError.,['java.lang.ExceptionInInitializerError']
Class.forName(String className),Did you cause the error java.lang.ClassNotFoundException?, - if the class cannot be located you will cause the error java.lang.ClassNotFoundException.,['java.lang.ClassNotFoundException']
Scanner.nextShort(),Did you cause the error java.util.InputMismatchException?," - if the next token does not match the Integer regular expression, or is out of range you will cause the error java.util.InputMismatchException.",['java.util.InputMismatchException']
Scanner.nextShort(),Did you cause the error java.util.NoSuchElementException?, - if input is exhausted you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
Scanner.nextShort(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
Scanner.nextLong(int radix),Did you cause the error java.util.InputMismatchException?," - if the next token does not match the Integer regular expression, or is out of range you will cause the error java.util.InputMismatchException.",['java.util.InputMismatchException']
Scanner.nextLong(int radix),Did you cause the error java.util.NoSuchElementException?, - if input is exhausted you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
Scanner.nextLong(int radix),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
PrimitiveIterator.forEachRemaining(IntConsumer action),Did you cause the error java.lang.NullPointerException?, - if the specified action is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
Locale.Builder.setLocale(Locale locale),Did you cause the error java.util.IllformedLocaleException?, - if locale has any ill-formed fields. you will cause the error java.util.IllformedLocaleException.,['java.util.IllformedLocaleException']
Locale.Builder.setLocale(Locale locale),Did you cause the error java.lang.NullPointerException?, - if locale is null. you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
Spliterator.forEachRemaining(Consumer<? super T> action),Did you cause the error java.lang.NullPointerException?, - if the specified action is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
ClassLoader.getSystemClassLoader(),Did you cause the error java.lang.SecurityException?, - If a security manager exists and its checkPermission method doesn't allow access to the system class loader. you will cause the error java.lang.SecurityException.,['java.lang.SecurityException']
ClassLoader.getSystemClassLoader(),Did you cause the error java.lang.IllegalStateException?," - If invoked recursively during the construction of the class loader specified by the ""java.system.class.loader"" property. you will cause the error java.lang.IllegalStateException.",['java.lang.IllegalStateException']
ClassLoader.getSystemClassLoader(),Did you cause the error java.lang.Error?," - If the system property ""java.system.class.loader"" is defined but the named class could not be loaded, the provider class does not define the required constructor, or an exception is thrown by that constructor when it is invoked. The underlying cause of the error can be retrieved via the Throwable.getCause() method. you will cause the error java.lang.Error.",['java.lang.Error']
IntSummaryStatistics.combine(IntSummaryStatistics other),Did you cause the error java.lang.NullPointerException?, - if other is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
Math.incrementExact(int a),Did you cause the error java.lang.ArithmeticException?, - if the result overflows an int you will cause the error java.lang.ArithmeticException.,['java.lang.ArithmeticException']
SplittableRandom.nextDouble(double bound),Did you cause the error java.lang.IllegalArgumentException?, - if bound is not positive you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
BitSet.previousClearBit(int fromIndex),Did you cause the error java.lang.IndexOutOfBoundsException?, - if the specified index is less than -1 you will cause the error java.lang.IndexOutOfBoundsException.,['java.lang.IndexOutOfBoundsException']
Flushable.flush(),Did you cause the error java.util.FormatterClosedException?, - If this formatter has been closed by invoking its close() method you will cause the error java.util.FormatterClosedException.,['java.util.FormatterClosedException']
Spliterators.iterator(Spliterator.OfLong spliterator),Did you cause the error java.lang.NullPointerException?, - if the given spliterator is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
Collections.shuffle(List<?> list),Did you cause the error java.lang.UnsupportedOperationException?, - if the specified list or its list-iterator does not support the set operation. you will cause the error java.lang.UnsupportedOperationException.,['java.lang.UnsupportedOperationException']
Class.newInstance(),Did you cause the error java.lang.IllegalAccessException?, - if the class or its nullary constructor is not accessible. you will cause the error java.lang.IllegalAccessException.,['java.lang.IllegalAccessException']
Class.newInstance(),Did you cause the error java.lang.InstantiationException?," - if this Class represents an abstract class, an interface, an array class, a primitive type, or void; or if the class has no nullary constructor; or if the instantiation fails for some other reason. you will cause the error java.lang.InstantiationException.",['java.lang.InstantiationException']
Class.newInstance(),Did you cause the error java.lang.ExceptionInInitializerError?, - if the initialization provoked by this method fails. you will cause the error java.lang.ExceptionInInitializerError.,['java.lang.ExceptionInInitializerError']
Class.newInstance(),Did you cause the error java.lang.SecurityException?," - If a security manager, s, is present and the caller's class loader is not the same as or an ancestor of the class loader for the current class and invocation of s.checkPackageAccess() denies access to the package of this class. you will cause the error java.lang.SecurityException.",['java.lang.SecurityException']
"NavigableMap.subMap(K fromKey, boolean fromInclusive, K toKey, boolean toInclusive)",Did you cause the error java.lang.ClassCastException?,toKey - high endpoint of the keys in the returned map you will cause the error java.lang.ClassCastException.,['java.lang.ClassCastException']
"NavigableMap.subMap(K fromKey, boolean fromInclusive, K toKey, boolean toInclusive)",Did you cause the error java.lang.NullPointerException?,toInclusive - true if the high endpoint is to be included in the returned view you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
"NavigableMap.subMap(K fromKey, boolean fromInclusive, K toKey, boolean toInclusive)",Did you cause the error java.lang.IllegalArgumentException?,a view of the portion of this map whose keys range from fromKey to toKey you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
"NavigableMap.subMap(K fromKey, boolean fromInclusive, K toKey, boolean toInclusive)",Did you cause the error java.lang.ClassCastException?," - if fromKey and toKey cannot be compared to one another using this map's comparator (or, if the map has no comparator, using natural ordering). Implementations may, but are not required to, throw this exception if fromKey or toKey cannot be compared to keys currently in the map. you will cause the error java.lang.ClassCastException.",['java.lang.ClassCastException']
"NavigableMap.subMap(K fromKey, boolean fromInclusive, K toKey, boolean toInclusive)",Did you cause the error java.lang.NullPointerException?," - if fromKey or toKey is null and this map uses natural ordering, or its comparator does not permit null keys you will cause the error java.lang.NullPointerException.",['java.lang.NullPointerException']
"NavigableMap.subMap(K fromKey, boolean fromInclusive, K toKey, boolean toInclusive)",Did you cause the error java.lang.IllegalArgumentException?," - if fromKey is greater than toKey; or if this map itself has a restricted range, and fromKey or toKey lies outside the bounds of the range you will cause the error java.lang.IllegalArgumentException.",['java.lang.IllegalArgumentException']
StringBuilder.deleteCharAt(int index),Did you cause the error java.lang.StringIndexOutOfBoundsException?, - if the index is negative or greater than or equal to length(). you will cause the error java.lang.StringIndexOutOfBoundsException.,['java.lang.StringIndexOutOfBoundsException']
Spliterator.tryAdvance(Consumer<? super T> action),Did you cause the error java.lang.NullPointerException?, - if the specified action is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
Scanner.nextShort(int radix),Did you cause the error java.util.InputMismatchException?," - if the next token does not match the Integer regular expression, or is out of range you will cause the error java.util.InputMismatchException.",['java.util.InputMismatchException']
Scanner.nextShort(int radix),Did you cause the error java.util.NoSuchElementException?, - if input is exhausted you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
Scanner.nextShort(int radix),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
Scanner.nextBigDecimal(),Did you cause the error java.util.InputMismatchException?," - if the next token does not match the Decimal regular expression, or is out of range you will cause the error java.util.InputMismatchException.",['java.util.InputMismatchException']
Scanner.nextBigDecimal(),Did you cause the error java.util.NoSuchElementException?, - if the input is exhausted you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
Scanner.nextBigDecimal(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
Scanner.hasNextInt(int radix),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
"Spliterator.OfPrimitive<T,T_CONS,T_SPLITR.forEachRemaining(T CONS action)",Did you cause the error java.lang.NullPointerException?, - if the specified action is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
Integer.parseInt(String s),Did you cause the error java.lang.NumberFormatException?, - if the string does not contain a parsable integer. you will cause the error java.lang.NumberFormatException.,['java.lang.NumberFormatException']
ListIterator.set(E e),Did you cause the error java.lang.UnsupportedOperationException?, - if the set operation is not supported by this list iterator you will cause the error java.lang.UnsupportedOperationException.,['java.lang.UnsupportedOperationException']
ListIterator.set(E e),Did you cause the error java.lang.ClassCastException?, - if the class of the specified element prevents it from being added to this list you will cause the error java.lang.ClassCastException.,['java.lang.ClassCastException']
ListIterator.set(E e),Did you cause the error java.lang.IllegalArgumentException?, - if some aspect of the specified element prevents it from being added to this list you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
ListIterator.set(E e),Did you cause the error java.lang.IllegalStateException?," - if neither next nor previous have been called, or remove or add have been called after the last call to next or previous you will cause the error java.lang.IllegalStateException.",['java.lang.IllegalStateException']
Deque.offer(E e),Did you cause the error java.lang.NullPointerException?, - if the specified element is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
ThreadLocal.withInitial(Supplier<? extends S> supplier),Did you cause the error java.lang.NullPointerException?, - if the specified supplier is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
Formatter.out(),Did you cause the error java.util.FormatterClosedException?, - If this formatter has been closed by invoking its close() method you will cause the error java.util.FormatterClosedException.,['java.util.FormatterClosedException']
Scanner.hasNext(Pattern pattern),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
Short.parseShort(String s),Did you cause the error java.lang.NumberFormatException?, - If the string does not contain a parsable short. you will cause the error java.lang.NumberFormatException.,['java.lang.NumberFormatException']
Hashtable.contains(Object value),Did you cause the error java.lang.NullPointerException?, - if the value is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
Package.isCompatibleWith(String desired),Did you cause the error java.lang.NumberFormatException?, - if the desired or current version is not of the correct dotted form. you will cause the error java.lang.NumberFormatException.,['java.lang.NumberFormatException']
Spliterators.iterator(Spliterator.OfDouble spliterator),Did you cause the error java.lang.NullPointerException?, - if the given spliterator is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
Scanner.nextInt(),Did you cause the error java.util.InputMismatchException?," - if the next token does not match the Integer regular expression, or is out of range you will cause the error java.util.InputMismatchException.",['java.util.InputMismatchException']
Scanner.nextInt(),Did you cause the error java.util.NoSuchElementException?, - if input is exhausted you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
Scanner.nextInt(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
Scanner.hasNextLine(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
ClassLoader.getSystemResources(String name),Did you cause the error java.io.IOException?, - If I/O errors occur you will cause the error java.io.IOException.,['java.io.IOException']
UUID.clockSequence(),Did you cause the error java.lang.UnsupportedOperationException?, - If this UUID is not a version 1 UUID you will cause the error java.lang.UnsupportedOperationException.,['java.lang.UnsupportedOperationException']
Iterator.forEachRemaining(Consumer<? super E> action),Did you cause the error java.lang.NullPointerException?, - if the specified action is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
Spliterators.iterator(Spliterator.OfInt spliterator),Did you cause the error java.lang.NullPointerException?, - if the given spliterator is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
Comparator.thenComparing(Comparator<? super T> other),Did you cause the error java.lang.NullPointerException?, - if the argument is null. you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
Scanner.hasNextByte(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
Stack.peek(),Did you cause the error java.util.EmptyStackException?, - if this stack is empty. you will cause the error java.util.EmptyStackException.,['java.util.EmptyStackException']
Observable.addObserver(Observer o),Did you cause the error java.lang.NullPointerException?, - if the parameter o is null. you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
Scanner.nextLine(),Did you cause the error java.util.NoSuchElementException?, - if no line was found you will cause the error java.util.NoSuchElementException.,['java.util.NoSuchElementException']
Scanner.nextLine(),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
Math.negateExact(int a),Did you cause the error java.lang.ArithmeticException?, - if the result overflows an int you will cause the error java.lang.ArithmeticException.,['java.lang.ArithmeticException']
SplittableRandom.longs(long streamSize),Did you cause the error java.lang.IllegalArgumentException?, - if streamSize is less than zero you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
Scanner.findInLine(String pattern),Did you cause the error java.lang.IllegalStateException?, - if this scanner is closed you will cause the error java.lang.IllegalStateException.,['java.lang.IllegalStateException']
Locale.Builder.setScript(String script),Did you cause the error java.util.IllformedLocaleException?, - if script is ill-formed you will cause the error java.util.IllformedLocaleException.,['java.util.IllformedLocaleException']
Character.UnicodeScript.valueOf(String name),Did you cause the error java.lang.IllegalArgumentException?, - if this enum type has no constant with the specified name you will cause the error java.lang.IllegalArgumentException.,['java.lang.IllegalArgumentException']
Character.UnicodeScript.valueOf(String name),Did you cause the error java.lang.NullPointerException?, - if the argument is null you will cause the error java.lang.NullPointerException.,['java.lang.NullPointerException']
AutoCloseable.close(),Did you cause the error java.lang.Exception?, - if this resource cannot be closed you will cause the error java.lang.Exception.,['java.lang.Exception']
